time,side,size,entry,exit,reason,tp,sl,pnl,entry_comm,exit_comm,trailing_active,trailing_stop,trail_ticks
2025-10-26 18:25:00-04:00,long,5,25729.5,25735.5,cross,25876.5,25735.5,52.6,3.7,3.7,True,25735.5,
2025-10-26 18:44:00-04:00,short,7,25729.0,25725.0,cross,25693.5,25725.0,45.64,5.18,5.18,True,25725.0,
2025-10-26 19:02:00-04:00,long,14,25740.75,25724.5,cross,25791.25,25724.0,-475.72,10.36,10.36,False,,
2025-10-26 19:13:00-04:00,short,11,25724.25,25721.75,cross,25703.5,25721.75,38.72,8.14,8.14,True,25721.75,
2025-10-26 19:35:00-04:00,long,15,25731.75,25733.5,cross,25759.75,25733.5,30.3,11.1,11.1,True,25733.5,
2025-10-26 19:47:00-04:00,short,11,25724.0,25721.5,cross,25711.25,25721.5,38.72,8.14,8.14,True,25721.5,
2025-10-26 20:05:00-04:00,long,15,25727.25,25729.75,cross,25763.75,25729.75,52.8,11.1,11.1,True,25729.75,
2025-10-26 20:48:00-04:00,short,11,25729.75,25727.25,cross,25714.25,25727.25,38.72,8.14,8.14,True,25727.25,
2025-10-26 21:23:00-04:00,long,15,25726.25,25727.5,cross,25750.75,25727.5,15.3,11.1,11.1,True,25727.5,
2025-10-26 21:49:00-04:00,short,11,25721.5,25718.75,cross,25712.0,25718.75,44.22,8.14,8.14,True,25718.75,
2025-10-26 22:04:00-04:00,long,15,25724.5,25717.5,cross,25745.75,25717.5,-232.2,11.1,11.1,False,,
2025-10-26 22:09:00-04:00,short,11,25715.5,25713.25,cross,25704.75,25713.25,33.22,8.14,8.14,True,25713.25,
2025-10-26 22:16:00-04:00,long,15,25725.25,25727.25,cross,25748.0,25727.25,37.8,11.1,11.1,True,25727.25,
2025-10-26 23:43:00-04:00,short,11,25763.25,25761.0,cross,25753.75,25761.0,33.22,8.14,8.14,True,25761.0,
2025-10-27 00:26:00-04:00,long,15,25764.25,25766.5,cross,25783.5,25766.5,45.3,11.1,11.1,True,25766.5,
2025-10-27 00:50:00-04:00,short,11,25760.25,25759.0,cross,25752.25,25759.0,11.219999999999999,8.14,8.14,True,25759.0,
2025-10-27 01:01:00-04:00,long,15,25762.75,25765.25,cross,25777.25,25765.25,52.8,11.1,11.1,True,25765.25,
2025-10-27 02:42:00-04:00,short,11,25788.5,25795.0,cross,25775.75,25795.0,-159.28,8.14,8.14,False,,
2025-10-27 03:09:00-04:00,long,15,25793.75,25794.75,cross,25821.0,25794.75,7.800000000000001,11.1,11.1,True,25794.75,
2025-10-27 03:44:00-04:00,short,11,25803.5,25800.75,cross,25791.0,25800.75,44.22,8.14,8.14,True,25800.75,
2025-10-27 04:41:00-04:00,long,15,25787.5,25788.75,cross,25822.75,25788.75,15.3,11.1,11.1,True,25788.75,
2025-10-27 05:25:00-04:00,short,11,25798.25,25795.75,cross,25786.25,25795.75,38.72,8.14,8.14,True,25795.75,
2025-10-27 05:34:00-04:00,long,15,25805.25,25810.5,cross,25831.75,25810.5,135.3,11.1,11.1,True,25810.5,
2025-10-27 06:57:00-04:00,short,11,25841.0,25842.0,cross,25831.25,25841.75,-38.28,8.14,8.14,False,25841.75,
